"en","fr","de","it","ru","es"
"Wind instruments",,,,,
"Woodwind instruments",,,,,
"wind instruments","instruments à vent","Blasinstrumente","strumenti a fiato","dukhovye instrumenty","instrumentos de viento"
"woodwind instruments","les bois; instruments à vent en bois","Holzblasinstrumente","legno","dereviannye dukhovye instrumenty","instrumentos de madera"
"reeds","anches",,,"trosti",
"double reeds","anches doubles",,,"double reeds",
"flute","flûte;grande flûte;flûte traversière","Flöte; Querflöte","flauto","fleita","flauta"
"oboe","hautbois","Oboe","oboe","goboi","oboe"
"clarinet","clarinette","Klarinette","clarinetto","klarnet","clarinete"
"bass clarinet","clarinette basse","Bassklarinette","clarinetto basso","bass-klarnet","clarinete bajo"
"bassoon","basson","Fagott","fagotto","fagot","fagot"
"English horn","cor anglais","Englischhorn","corno inglese","angliiskii rozhok","corno inglés; cuerno inglés"
"recorder","flûte à bec;flûte douce; flûte droite","Blockflöte","flauto dolce;dritto;a becco","blokfleita","flauta recta; flauta dulce; flauta de pico"
"saxophone","saxophone","Saxophon","sassofono; saxofono","saksofon","saxofón; saxofóno"
"piccolo","piccolo; flûte piccolo;petite flûte","Pikkoloflöte; Piccolo;kleine Flöte","ottavino;flauto piccolo","pikkolo; malaia fleita;fleita pikkolo","flautín; ottavino"
"oboe d'amore","hautbois d'amore;hautbois d'amore","Liebesoboe","oboe d'amore","goboi d'amur","oboe de amor"
"Brass instruments",,,,,
"brass instruments","instruments à vent de cuivre; cuivres","Blechblasinstrumente","ottone","mednye dukhovye instrumenty","instrumentos de metal; cobre; instrumentos de instrumentos de viento-metal; metales"
"horn","cor","Horn","corno","Gorn; rog; rozhok;valtorna","corno; corno francés;trompa;trompa da pistones; cuerno"
"natural horn","cor simple","Waldhorn","corno naturale","valtorna","trompa natural"
"trumpet","trompette","Trompete","tromba; clarino","truba","trompeta"
"cornet","cornet; cornet à pistons","Kornett","cornetta","kornet","corneta"
"flugelhorn",,"Flügelhorn","flicorno","fliugel'gorn","fliscorno"
"trombone","trombone","Posaune","trombone","trombon","trombón"
"bass trombone","basse-trombone;trombone basse","Bass Posaune","trombono basso","bas trombon","trombón bajo"
"tuba","tuba","Tuba","tuba","tuba","tuba"
"baritone","baryton; bariton","Bariton","baritono","bariton","barítono"
"euphonium","euphonium","Euphonium","eufonio","evfonium","euphonium"
"Stringed instruments",,,,,
"string instruments","instrument à cordes;instrument à cordes frottées","Saiteninstrumente","strumenti a corda;strumenti archi","strunnye instrumenty","instrumentos de cuerdas"
"strings","cordes","Streicher","archi","struny","cuerdas"
"violin","violon","Violine; Geige","violino","skripka","violín"
"viola","alto","Viola; Bratsche","viola","viola","viola"
"violoncello","violoncelle","Violoncello; Cello","violoncello","violonchel'","violoncelo; cello;violonchelo"
"double bass; string bass","contrebasse","Kontrabass","contrabasso","kontrabas","contrabajo"
"viola da gamba","viole de gambe;viola da gamba","Viola da gamba;Gambe","viola da gamba","viola da gamba;gamba","viola de gamba;viola da gamba"
"viola d'amore","viole d'amour","Viola d'amore;Liebesgeige","viola d'amore","viola d'amur","viola d'amore"
"Plucked instruments",,,,,
"plucked instruments","instruments à cordes pincées","Zupfinstrumente","strumenti a pizzico","shchipkovye instrumenty","instrumentos punteados"
"cimbalom","cymbalum","Zymbal",,,
"guitar","guitare","Gitarre","chitarra","gitara","guitarra"
"harp","harpe","Harfe","arpa","arfa","arpa"
"lute","luth","Laute","liuto","liutnia","laúd"
"mandolin","mandoline","Mandoline","mandolino","mandolina","mandolina"
"zither","cithare","Zither","cetra da tavolo","tsitra","cítara"
"Keyboard instruments",,,,,
"keyboard instruments","instruments à clavier","Tasteninstrumente","strumenti a tastiera","klavishnyi instrument","instrumentos de tecla"
"accordion","accordéon","Akkordeon","fisarmonica","akkordeon","acordeón"
"bayan",,"Bajan","bayan, fisarmonica bayan","baian",
"celesta","célesta","Celesta","celesta","chelesta","celesta"
"clavichord","clavicorde","Clavichord; Klavichord","clavicordo","klavikord","clavicordio"
"continuo;thorough-bass","basse continue","Generalbass;Basso continuo","basso continuo","basso kontinuo;general-bas","bajo continuo"
"harpsichord","clavecin","Cembalo; Clavicembalo","clavicembalo","klavesin; chembalo","clavecémbalo; clavecín;clavicímbalo"
"organ","orgue","Orgel","organo","organ","órgano"
"piano","piano","Piano; Klavier","piano","fortep'iano","piano"
"Percussion instruments",,,,,
"percussion instruments","instruments à percussion","Schlaginstrumente;Perkussionsinstrumente","strumenti a percussione","udarnye instrumenty","instrumentos de percusión"
